id,time,group,number,item,value,cond
75555807,1658,L2,56,Бассейне я в плавать люблю. ,4,ungram
75555807,1658,L2,57,Я ищу мой паспорт. ,5,prn1
75555807,1658,L2,59,Коля потерял телефон ОН ИЩЕТ СВОЙ ТЕЛЕФОН.,5,refl3
75555807,1658,L2,60,Дерево белка на живет большом. ,3,ungram
75555807,1658,L2,62,Я  продаю мою машину. ,5,prn1
75555807,1658,L2,63,Часто я гуляю парк в. ,2,ungram
75555807,1658,L2,64,Вика потеряла книгу ОНА ИЩЕТ ЕЕ КНИГУ.,5,prn3
75555807,1658,L2,66,Мальчик в играет парке маленький. ,2,ungram
75555807,1658,L2,68,День Лена читает каждый книгу. ,1,ungram
75555807,1658,L2,70,Анна купила собаку ОНА ЛЮБИТ ЕЕ СОБАКУ.,5,prn3
75555807,1658,L2,71,Вчера собака Петя терять своя. ,2,ungram
75555807,1658,L2,72,Я читаю мой учебник. ,5,prn1
75555807,1658,L2,73,Летела по самолет небу большая.        ,3,ungram
75555807,1658,L2,74,Дима купил дом ОН ЛЮБИТ ЕГО ДОМ.,5,prn3
75555807,1658,L2,76,Я  убираю свою комнату. ,5,refl1
75555807,1658,L2,77,Фильмы известных без aктер были cкучными. ,3,ungram
75555807,1658,L2,78,Анна купила квартиру ОНА ЛЮБИТ СВОЮ КВАРТИРУ.,5,refl3
75555807,1658,L2,79,Я ем мой завтрак. ,4,prn1
75555807,1658,L2,80,Вика потеряла кошку ОНА ПОТЕРЯЛА ЕЕ КОШКУ.,5,prn3
75571497,1870,L2,1,Вика потеряла кошку ОНА ИЩЕТ СВОЮ КОШКУ.,2,refl3
75571497,1870,L2,3,Обед на ест суп редко Петя. ,2,ungram
75571497,1870,L2,4,Я ем свой завтрак. ,4,refl1
75571497,1870,L2,7,Коля потерял телефон ОН ИЩЕТ ЕГО ТЕЛЕФОН.,4,prn3
75571497,1870,L2,8,Я продаю свою машину. ,4,refl1
75571497,1870,L2,10,Я читаю свой учебник. ,5,refl1
75571497,1870,L2,12,Я  ищу мою сумку.             ,4,prn1
75571497,1870,L2,14,Вика потеряла книгу ОНА ИЩЕТ СВОЮ КНИГУ.,4,refl3
75571497,1870,L2,16,Коля потерял ключ ОН ИЩЕТ ЕГО КЛЮЧ.,5,prn3
75571497,1870,L2,17,Книги городам русских о.  ,2,ungram
75571497,1870,L2,18,Анна купила квартиру ОНА ЛЮБИТ ЕЁ КВАРТИРУ.,4,prn3
